Spp,Fc,Sc,Dur,Fmax,Fmin,Fk,Tk,S1,BWDth,PkDur
Antpal,32.025154,4.441406,5.985211,57.36345,29.056061,42.21721,2.557144,-11.34627,28.307389,29.809098
Antpal,27.594659,4.907054,5.027493,54.421835,27.105245,36.273487,2.03127,-14.073168,27.316591,38.514761
Antpal,36.814878,4.837912,6.786181,66.445199,32.750178,48.956616,2.531993,-12.565455,33.695021,24.623284
Antpal,29.000329,5.477663,5.200791,59.107548,28.996622,40.269232,1.852116,-17.464509,30.110926,32.488335
Antpal,32.388947,3.483906,4.258259,44.982744,30.086521,37.516228,1.11621,-6.445958,14.896223,31.27723
Antpal,29.037926,4.128367,6.819325,56.780708,27.164446,35.355218,3.073709,-9.904178,29.616262,43.723681
Antpal,28.671575,5.550597,5.468076,54.405452,24.964119,34.046234,0.967556,-16.889645,29.441333,36.26826
Antpal,27.240126,3.696843,6.857403,55.642541,26.084015,35.400465,3.174014,-12.648574,29.558526,38.292224
Antpal,31.231561,6.09169,5.723701,59.549738,27.50257,42.834206,1.313934,-10.876419,32.047168,27.974386
Antpal,29.198213,5.376894,4.99279,59.28086,27.822002,36.968785,1.505711,-22.724105,31.458857,38.002811
Antpal,30.843534,7.482587,4.708097,65.91306,29.919741,44.779305,0.97167,-18.028554,35.993319,33.249428
Antpal,25.28127,7.891586,4.780752,65.710371,25.194061,41.445029,1.683516,-19.03486,40.51631,36.202038
Antpal,35.025111,9.961914,4.491262,73.411198,30.586981,48.460567,1.514688,-26.726657,42.824218,29.137592
Antpal,30.960708,10.100847,3.626498,58.598469,26.296673,42.168328,0.623371,-17.97936,32.301796,27.279856
Antpal,26.298167,8.795028,4.998867,65.217749,23.238748,36.422469,1.01435,-17.665739,41.979002,41.980079
Antpal,29.343957,9.409568,3.664654,63.983429,28.679243,43.207627,1.165522,-18.294588,35.304186,32.790867
Antpal,32.893471,8.27583,4.117043,60.311297,28.511303,44.535806,0.390297,-16.617972,31.799994,28.284647
Antpal,33.08475,8.459127,4.352812,66.626247,29.094199,43.385021,0.718574,-19.240958,37.532047,37.643632
Antpal,31.68645,7.195682,5.074033,65.243327,29.35756,40.236655,1.17219,-16.701116,35.885767,43.440847
Antpal,30.996077,4.684421,6.163187,61.041628,29.636961,41.961131,1.3201,-10.3747,31.404667,37.203764
Antpal,28.593214,2.993037,11.033939,61.004294,27.159798,41.333434,1.748637,-7.489614,33.844496,29.468282
Antpal,29.001367,4.84247,7.939629,71.046322,28.98197,41.865346,1.521217,-11.518822,42.064352,38.930429
Antpal,30.154134,5.739672,5.490693,62.682533,29.335178,39.249995,0.980417,-10.815513,33.347355,47.311681
Antpal,26.858199,4.04905,7.475534,61.164621,26.840556,38.947296,3.518322,-13.13436,34.324064,36.907892
Antpal,33.113126,8.136291,5.079014,69.565112,30.032157,45.63193,0.202788,-14.327993,39.532955,39.135373
Antpal,33.438154,6.445046,4.900101,64.220739,31.775574,45.43487,2.369437,-13.655249,32.445165,31.923613
Antpal,29.080426,5.912986,5.191709,63.238973,28.538962,40.51546,2.550135,-19.950945,34.700011,32.283111
Antpal,28.143137,2.888505,9.92641,57.210424,25.486208,38.354872,3.429563,-9.150358,31.724215,32.613884
Antpal,29.351446,5.19282,6.506009,65.125855,28.119282,39.773565,1.864163,-16.060125,37.006573,37.174474
Antpal,30.553602,8.547194,4.284075,66.336159,27.737558,44.405908,1.355474,-23.74028,38.598601,28.212142
Antpal,26.008392,4.047669,6.991926,57.078049,25.417954,36.637562,3.592754,-12.201617,31.660095,37.169684
Antpal,30.079486,7.063334,4.264281,60.407732,27.72599,42.658844,0.959058,-16.787492,32.681742,27.777103
Antpal,31.417153,4.79239,5.95083,56.305538,28.20595,39.481715,0.946994,-15.22171,28.099588,28.720979
Antpal,31.806214,7.985178,4.461204,66.467363,29.745549,44.26271,0.663178,-17.0293,36.721814,28.584591
Antpal,30.885736,7.568619,4.830514,58.667839,26.359211,40.79173,0.916148,-16.694921,32.308628,25.68718
Antpal,30.776201,5.610931,4.790974,55.073665,28.24824,37.901616,1.704131,-12.567731,26.825425,29.700997
Antpal,31.204173,4.69745,6.002504,55.698526,28.107159,40.300701,1.092693,-11.02362,27.591366,26.632842
Antpal,30.641312,11.088162,4.088745,77.883443,29.784211,45.062781,1.481789,-29.309725,48.099232,36.987376
Antpal,31.22418,10.594891,3.412499,69.739825,30.857732,45.808202,0.862528,-25.567696,38.882093,34.682442
Antpal,31.417153,4.79239,5.95083,56.305538,28.20595,39.481715,0.946994,-15.22171,28.099588,28.720979
Antpal,30.248527,5.609157,6.601829,62.887033,26.146685,39.72775,1.844659,-17.867448,36.740348,29.782568
Antpal,33.423852,13.177497,3.43951,86.854521,33.022707,50.684099,2.459429,-58.86774,53.831815,37.704046
Antpal,33.207747,4.556047,6.818597,62.93587,31.175359,42.912057,5.854939,-11.947667,31.760511,38.395089
Antpal,29.55001,3.139126,8.743816,55.132038,28.262229,42.293956,3.828797,-10.63203,26.869809,21.64658
Cortow,30.05543,6.290556,2.514058,43.556333,27.21133,34.49294,1.625751,-10.128243,16.345003,47.641099
Cortow,28.95807,7.555125,2.458554,43.129041,24.551313,32.041557,0.632909,-11.109395,18.577728,55.209717
Cortow,27.88629,5.731563,3.661272,43.155065,22.576562,35.850485,0.172513,-9.211283,20.578503,27.818611
Cortow,23.285789,5.25502,3.865347,42.414928,22.424966,30.050128,3.096767,-6.038786,19.989962,63.975161
Cortow,22.109591,3.309881,6.157734,42.736479,21.542119,23.54233,4.220272,-1.375815,21.19436,89.967934
Cortow,28.227875,3.383318,5.973405,43.480409,21.050803,40.613266,3.458867,-3.125478,22.429606,13.204545
Cortow,21.793658,3.744628,5.883147,44.169713,21.431602,25.658294,3.964305,-3.979346,22.738111,80.53433
