Spp,Fc,Sc,Dur,Fmax,Fmin,Fk,Tk,S1,BWDth,PkDur
EPTFUS,28.551,22.28,6.153,35.113,27.758000000000006,29.108,3.933,134.71,7.354999999999998,18.560052007150983
EPTFUS,27.92,18.73,6.164,34.144,27.168000000000006,28.447,4.216,137.14,6.975999999999996,18.299805321219974
EPTFUS,28.77,39.45,5.524,37.083,28.254,30.074,3.5210000000000004,223.46,8.828999999999997,27.08182476466327
EPTFUS,28.791,28.72,9.79,40.563,26.367,30.61,4.851,206.18,14.196000000000005,33.12563840653728
EPTFUS,30.348000000000006,22.63,6.289,37.911,28.962,30.973000000000006,4.119,103.98,8.949000000000002,17.55446016854826
EPTFUS,26.003,21.27,8.146,34.658,25.597,26.974,5.452000000000001,197.71,9.061000000000003,25.730419837957253
EPTFUS,29.863000000000003,39.74,3.907,36.003,28.841,31.076,2.046,210.15,7.162000000000003,29.152802661888924
EPTFUS,26.642,20.97,8.306000000000001,34.087,26.285,27.446,5.596,173.77,7.801999999999996,24.584637611365274
EPTFUS,33.873000000000005,34.49,4.9860000000000015,40.94,32.705,35.246,2.845,244.54,8.235,26.052948255114323
EPTFUS,27.311,20.55,6.846,34.181999999999995,26.834,28.083,4.115,200.89,7.347999999999995,26.77475898334793
EPTFUS,25.386,49.98,7.338999999999999,33.858000000000004,24.543000000000006,26.695,4.582,210.68,9.315,25.480310669028487
EPTFUS,23.666,36.18,4.887,34.717,23.53,24.423,3.315,302.47,11.186999999999998,24.37077961939841
EPTFUS,33.046,39.46,4.771,41.154,31.499,34.51,2.482,170.14,9.654999999999994,28.69419408928947
EPTFUS,26.766,20.39,7.751,33.244,25.921,27.434,4.921,144.33,7.3229999999999995,21.042446135982456
EPTFUS,31.152,31.31,5.884,38.328,30.148000000000003,32.233000000000004,3.381,185.59,8.18,25.628823929299777
EPTFUS,33.922,39.93,4.99,41.82899999999999,32.777,35.641,2.678,202.34,9.051999999999992,29.358717434869728
EPTFUS,27.204,15.07,8.014,34.948,26.073,27.751,5.29,124.52,8.875,17.219865235837286
EPTFUS,35.642,50.85,4.622,43.96100000000001,33.308,37.463,2.358,100.69,10.653000000000006,27.260926006057986
EPTFUS,29.588,39.87,6.033,37.134,28.783,31.0,3.615,202.07,8.350999999999999,27.03464279794464
EPTFUS,29.265,30.82,6.204,37.283,28.601,30.433000000000003,3.498,208.49,8.682000000000002,30.673758865248228
EPTFUS,25.693,30.5,6.9220000000000015,31.207,24.841,26.723000000000006,3.533,119.59,6.3660000000000005,29.904651834729837
EPTFUS,31.419,45.23,4.615,41.584,30.143,32.748000000000005,2.852,251.96,11.440999999999995,22.10184182015168
EPTFUS,25.033,70.45,6.466,34.899,23.582,27.2,3.2460000000000004,181.17,11.317000000000005,31.95174760284565
EPTFUS,27.596,44.63,7.626,36.548,25.134,29.263,3.918,197.54,11.414,27.275111460792022
EPTFUS,26.149,31.4,5.724,32.059,25.538,26.947,3.651,150.46,6.520999999999997,23.340321453529
EPTFUS,26.777,26.11,4.875,31.391,26.191,27.35,3.077,72.88,5.199999999999998,22.153846153846153
EPTFUS,34.018,17.54,6.0,41.905,33.254,34.898,3.888,209.67,8.651000000000002,23.40000000000001
EPTFUS,27.225,22.89,7.954,36.114,26.853,28.174,5.127999999999999,221.36,9.261000000000003,27.709328639678173
EPTFUS,26.701,32.66,7.667999999999998,37.702,26.021,27.508000000000006,5.547999999999999,342.66,11.680999999999996,16.58841940532083
EPTFUS,27.882,27.48,6.94,36.133,27.606,28.678,4.914,196.83,8.527000000000005,22.89625360230547
EPTFUS,27.922,23.84,5.496,33.23,27.113000000000003,28.584,3.507,102.77,6.116999999999994,19.195778748180498
EPTFUS,27.675,20.9,8.984,39.509,26.818,29.016,5.555,201.42,12.691,29.919857524487988
EPTFUS,29.878,27.69,6.581,37.367,28.98,30.691,4.25,105.22,8.386999999999997,20.98465278833005
EPTFUS,27.604,37.94,5.394,36.897,27.362,28.888,3.327,269.4,9.535,33.62995921394142
EPTFUS,25.595,16.55,8.4,32.559,24.949,26.321,5.535,158.35,7.609999999999997,21.952380952380942
EPTFUS,26.094,21.1,8.229,31.804,25.022,27.114,3.978,155.96,6.782000000000004,29.00716976546361
EPTFUS,26.065,18.13,7.592,32.093,25.038,26.903,3.969,97.83,7.055000000000002,28.85932560590095
EPTFUS,30.871,15.62,4.8610000000000015,35.802,30.444000000000006,31.642,2.772,167.45,5.357999999999997,29.191524377700052
EPTFUS,26.547,26.82,5.0139999999999985,32.97,25.983,27.155,3.161,164.55,6.986999999999997,20.662145991224573
EPTFUS,26.892,43.44,4.925,34.57,25.636,27.881,2.569,139.33,8.934000000000003,27.63451776649747
EPTFUS,28.645,53.01,6.257999999999999,37.563,27.634,30.633000000000006,3.4360000000000004,140.4,9.929000000000002,32.518376478108024
EPTFUS,27.769,30.59,5.5539999999999985,33.796,27.347,28.597,3.63,191.47,6.4490000000000025,24.16276557436082
EPTFUS,25.224,19.27,8.92,30.937,24.761,25.968000000000004,5.63,92.13,6.1759999999999975,21.860986547085204
EPTFUS,26.726,14.99,6.1389999999999985,31.334,25.717,27.505,2.84,188.07,5.617000000000001,32.36683498941196
EPTFUS,25.929,16.85,7.041,31.431,25.349,26.425,4.802,114.53,6.081999999999997,18.90356483454054
EPTFUS,26.765,23.26,7.32,32.82,26.031,27.46,4.7189999999999985,85.71,6.7890000000000015,20.71038251366121
EPTFUS,27.738000000000003,25.15,7.947999999999999,37.579,27.57,28.749,5.171,281.37,10.009,27.478610971313547
